second,throughput_ops,latency_us
0,39837972,0.327386
1,39788330,0.327901
2,18065815,0.37616
3,31381100,0.711759
4,33276266,0.405924
5,32919581,0.4366
6,31614037,0.454847
7,31468974,0.511178
8,16581193,0.700938
9,0,0
10,26474587,1.40983
11,32501950,0.416237
12,32378443,0.44445
13,32286272,0.445591
14,32169223,0.421202
15,32142758,0.447917
16,32066946,0.449078
17,31787805,0.453243
18,30820609,0.522452
19,30785394,0.46803
20,30727208,0.496455
21,30699199,0.441903
22,30025502,0.482522
23,421434,4.52123
24,0,0
25,0,0
26,27818913,2.2162
27,31769131,0.42735
28,31697368,0.428456
29,31696922,0.48232
30,31668873,0.428897
31,31642880,0.509518
32,31491671,0.485031
33,30862955,0.439963
34,30505369,0.472861
35,30473089,0.529811
36,30440653,0.446
37,30465570,0.445668
38,30434963,0.474032
39,30472881,0.500054
40,30480714,0.473822
41,30431035,0.474116
42,30088938,0.45259
43,20642808,0.472612
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,6821633,14.6753
50,30458373,0.445693
51,30361308,0.44729
52,30337974,0.447651
53,30344762,0.447512
54,30344687,0.447581
55,30451701,0.473639
56,30440695,0.529459
57,30432674,0.446087
58,30410557,0.446517
59,30421330,0.502467
60,30418490,0.502091
61,30420067,0.446373
62,30411359,0.502692
63,30389727,0.503545
64,30420592,0.446348
65,30398189,0.50303
66,30421680,0.502091
67,30442322,0.445952
68,29689473,0.48852
69,29149054,0.470189
70,11154342,0.630554
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,25241708,7.41932
83,29400423,0.896208
84,30417272,0.44657
85,30399290,0.446827
86,30425213,0.446392
87,30417037,0.503533
88,30410901,0.532215
89,30417277,0.501016
90,30405045,0.44669
91,30378370,0.503652
92,30388500,0.447028
93,30433942,0.446291
94,30473844,0.445711
95,30454393,0.473814
96,30461972,0.50212
97,30546358,0.472189
98,30485158,0.445538
99,30522204,0.444897
100,30518016,0.44495
101,30490863,0.47375
102,30503038,0.527882
103,30501614,0.445178
104,30485557,0.473303
105,30486521,0.50103
106,30482710,0.47392
107,30482675,0.501078
108,30484763,0.445532
109,30505111,0.44518
110,30495098,0.473122
111,30475776,0.445604
112,30560254,0.472259
113,30605639,0.472377
114,30568056,0.473044
115,30646195,0.471752
116,29886067,0.514946
117,29307755,0.468951
118,29347346,0.497398
119,28919060,0.475812
