second,throughput_ops,latency_us
0,30232079,0.325661
1,30250001,0.325762
2,30035815,0.355858
3,13077491,1.03491
4,26307465,0.384919
5,26068407,0.421475
6,25924840,0.391603
7,24995039,0.441985
8,24794932,0.411913
9,7104007,0.434316
10,9177583,2.1521
11,25707952,0.395554
12,25527627,0.432093
13,25384676,0.401506
14,25327680,0.402627
15,25249762,0.437715
16,25147427,0.439678
17,25098501,0.406896
18,24737540,0.413558
19,24198123,0.423898
20,24163929,0.495287
21,24120459,0.425532
22,22091503,0.437689
23,0,0
24,0,0
25,13140895,2.72394
26,24950153,0.528345
27,24944892,0.408817
28,24907067,0.477778
29,24857630,0.444754
30,24864627,0.410385
31,24817927,0.411144
32,24619152,0.414996
33,24199466,0.422877
34,24173974,0.494019
35,24190552,0.458362
36,24153571,0.459115
37,24181206,0.458506
38,24179918,0.423229
39,24135729,0.459627
40,23594900,0.471588
41,8486687,0.550213
42,0,0
43,0,0
44,0,0
45,0,0
46,19010720,3.48197
47,24077561,0.425362
48,24022663,0.461974
49,23966916,0.427681
50,23976250,0.427529
51,23949391,0.42806
52,23938021,0.42829
53,23949612,0.428061
54,23936801,0.464011
55,23917763,0.50006
56,23932399,0.428436
57,23919329,0.428782
58,23910110,0.464542
59,23900744,0.429089
60,23895137,0.500695
61,23916819,0.42874
62,23177887,0.481345
63,22749429,0.454181
64,4406804,0.849615
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,329055,357.518
74,24225717,0.422492
75,24047186,0.496849
76,24015938,0.426695
77,24001247,0.42697
78,23978596,0.427398
79,23958367,0.427969
80,23944359,0.463866
81,23971837,0.463271
82,23945614,0.463935
83,23971149,0.427759
84,23976723,0.463143
85,23951999,0.463633
86,23964777,0.498987
87,23960600,0.499016
88,23949819,0.428091
89,23964379,0.427712
90,23940891,0.46375
91,23965293,0.42767
92,23971546,0.463195
93,23968375,0.4277
94,23987097,0.427329
95,23981863,0.427477
96,23961799,0.463468
97,23968587,0.427693
98,23968629,0.427742
99,23954965,0.463657
100,23954528,0.499191
101,23783633,0.503298
102,22896664,0.488162
103,22878969,0.488813
104,22736594,0.454585
105,13567790,0.457576
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
