Experiment,Workload,NKeys,ActiveCNs,ThreadsPerCN,TotalThreads,MemThreads,Coros,TotalTput(MOPs),MeanTput(MOPs),MaxTput(MOPs),MinTput(MOPs),MeanLatency(us),P95Latency(us),P99Latency(us),P999Latency(us)
"Fig10 8CN mt4",ycsba,50000000,8,2,16,4,2,3.123,0.390,3.123,3.123,10.045,0,0,0
"Fig10 8CN mt4",ycsba,50000000,8,4,32,4,2,3.323,0.415,3.323,3.323,19.922,0,0,0
"Fig10 8CN mt4",ycsba,50000000,8,8,64,4,2,3.612,0.452,3.612,3.612,38.164,0,0,0
"Fig10 8CN mt1",ycsbd,50000000,8,1,8,1,2,3.043,0.380,3.043,3.043,4.714,0,0,0
"Fig10 8CN mt1",ycsbd,50000000,8,2,16,1,2,3.595,0.449,3.595,3.595,8.545,0,0,0
"Fig10 8CN mt1",ycsbd,50000000,8,4,32,1,2,3.690,0.461,3.690,3.690,17.052,0,0,0
"Fig10 8CN mt1",ycsbd,50000000,8,8,64,1,2,4.073,0.509,4.073,4.073,33.459,0,0,0
"Fig10 8CN mt2",ycsbd,50000000,8,1,8,2,2,3.079,0.385,3.079,3.079,4.652,0,0,0
"Fig10 8CN mt2",ycsbd,50000000,8,2,16,2,2,3.588,0.449,3.588,3.588,8.596,0,0,0
"Fig10 8CN mt2",ycsbd,50000000,8,4,32,2,2,3.876,0.484,3.876,3.876,16.741,0,0,0
"Fig10 8CN mt2",ycsbd,50000000,8,8,64,2,2,3.982,0.498,3.982,3.982,33.733,0,0,0
"Fig10 8CN mt3",ycsbd,50000000,8,1,8,3,2,2.980,0.372,2.980,2.980,4.835,0,0,0
"Fig10 8CN mt3",ycsbd,50000000,8,2,16,3,2,3.525,0.441,3.525,3.525,8.737,0,0,0
"Fig10 8CN mt3",ycsbd,50000000,8,4,32,3,2,3.788,0.473,3.788,3.788,17.238,0,0,0
"Fig10 8CN mt3",ycsbd,50000000,8,8,64,3,2,3.838,0.480,3.838,3.838,34.757,0,0,0
"Fig10 8CN mt4",ycsbd,50000000,8,1,8,4,2,2.947,0.368,2.947,2.947,4.911,0,0,0
"Fig10 8CN mt4",ycsbd,50000000,8,2,16,4,2,3.516,0.440,3.516,3.516,8.723,0,0,0
"Fig10 8CN mt4",ycsbd,50000000,8,4,32,4,2,3.752,0.469,3.752,3.752,17.643,0,0,0
"Fig10 8CN mt4",ycsbd,50000000,8,8,64,4,2,3.823,0.478,3.823,3.823,35.024,0,0,0
"Fig10 8CN mt1",ycsbf,50000000,8,1,8,1,2,2.114,0.264,2.114,2.114,6.958,0,0,0
"Fig10 8CN mt1",ycsbf,50000000,8,2,16,1,2,2.274,0.284,2.274,2.274,13.883,0,0,0
"Fig10 8CN mt1",ycsbf,50000000,8,4,32,1,2,2.379,0.297,2.379,2.379,27.474,0,0,0
"Fig10 8CN mt1",ycsbf,50000000,8,8,64,1,2,2.530,0.316,2.530,2.530,53.105,0,0,0
"Fig10 8CN mt2",ycsbf,50000000,8,1,8,2,2,2.057,0.257,2.057,2.057,7.187,0,0,0
"Fig10 8CN mt2",ycsbf,50000000,8,2,16,2,2,2.239,0.280,2.239,2.239,14.082,0,0,0
"Fig10 8CN mt2",ycsbf,50000000,8,4,32,2,2,2.473,0.309,2.473,2.473,27.038,0,0,0
"Fig10 8CN mt2",ycsbf,50000000,8,8,64,2,2,2.510,0.314,2.510,2.510,53.969,0,0,0
"Fig10 8CN mt3",ycsbf,50000000,8,1,8,3,2,2.022,0.253,2.022,2.022,7.400,0,0,0
"Fig10 8CN mt3",ycsbf,50000000,8,2,16,3,2,2.256,0.282,2.256,2.256,14.084,0,0,0
"Fig10 8CN mt3",ycsbf,50000000,8,4,32,3,2,2.361,0.295,2.361,2.361,27.776,0,0,0
"Fig10 8CN mt3",ycsbf,50000000,8,8,64,3,2,2.451,0.306,2.451,2.451,54.691,0,0,0
"Fig10 8CN mt4",ycsbf,50000000,8,1,8,4,2,2.007,0.251,2.007,2.007,7.397,0,0,0
"Fig10 8CN mt4",ycsbf,50000000,8,2,16,4,2,2.202,0.275,2.202,2.202,14.283,0,0,0
"Fig10 8CN mt4",ycsbf,50000000,8,4,32,4,2,2.548,0.319,2.548,2.548,23.856,0,0,0
"Fig10 8CN mt4",ycsbf,50000000,8,8,64,4,2,2.444,0.305,2.444,2.444,55.465,0,0,0
"Fig12 MNscale",ycsbc,50000000,8,8,64,1,2,4.681,0.585,4.681,4.681,28.885,0,0,0
"Fig12 MNscale",ycsbc,50000000,8,8,64,2,2,4.537,0.567,4.537,4.537,28.939,0,0,0
"Fig12 MNscale",ycsbc,50000000,8,8,64,3,2,4.638,0.580,4.638,4.638,29.041,0,0,0
"Fig12 MNscale",ycsbc,50000000,8,8,64,4,2,4.573,0.572,4.573,4.573,29.332,0,0,0
"Fig13 C1 MT1",ycsbc,50000000,8,1,8,1,1,2.261,0.283,2.261,2.261,2.991,0,0,0
"Fig13 C1 MT1",ycsbc,50000000,8,2,16,1,1,3.341,0.418,3.341,3.341,4.147,0,0,0
"Fig13 C1 MT1",ycsbc,50000000,8,4,32,1,1,4.246,0.531,4.246,4.246,7.175,0,0,0
"Fig13 C1 MT1",ycsbc,50000000,8,8,64,1,1,4.735,0.592,4.735,4.735,13.709,0,0,0
"Fig13 C2 MT1",ycsbc,50000000,8,1,8,1,2,2.427,0.303,2.427,2.427,6.058,0,0,0
"Fig13 C2 MT1",ycsbc,50000000,8,2,16,1,2,3.433,0.429,3.433,3.433,9.043,0,0,0
"Fig13 C2 MT1",ycsbc,50000000,8,4,32,1,2,4.254,0.532,4.254,4.254,15.214,0,0,0
"Fig13 C2 MT1",ycsbc,50000000,8,8,64,1,2,4.417,0.552,4.417,4.417,29.064,0,0,0
"Fig13 C3 MT1",ycsbc,50000000,8,1,8,1,3,2.539,0.317,2.539,2.539,9.148,0,0,0
"Fig13 C3 MT1",ycsbc,50000000,8,2,16,1,3,3.630,0.454,3.630,3.630,13.067,0,0,0
"Fig13 C3 MT1",ycsbc,50000000,8,4,32,1,3,4.257,0.532,4.257,4.257,23.254,0,0,0
"Fig13 C3 MT1",ycsbc,50000000,8,8,64,1,3,4.714,0.589,4.714,4.714,43.112,0,0,0
"Fig13 C1 MT2",ycsbc,50000000,8,1,8,2,1,2.453,0.307,2.453,2.453,2.873,0,0,0
"Fig13 C1 MT2",ycsbc,50000000,8,2,16,2,1,3.327,0.416,3.327,3.327,4.186,0,0,0
"Fig13 C1 MT2",ycsbc,50000000,8,4,32,2,1,4.029,0.504,4.029,4.029,7.472,0,0,0
"Fig13 C1 MT2",ycsbc,50000000,8,8,64,2,1,4.594,0.574,4.594,4.594,14.004,0,0,0
"Fig13 C2 MT2",ycsbc,50000000,8,1,8,2,2,2.504,0.313,2.504,2.504,5.920,0,0,0
"Fig13 C2 MT2",ycsbc,50000000,8,2,16,2,2,3.381,0.423,3.381,3.381,9.156,0,0,0
"Fig13 C2 MT2",ycsbc,50000000,8,4,32,2,2,4.103,0.513,4.103,4.103,15.759,0,0,0
"Fig13 C2 MT2",ycsbc,50000000,8,8,64,2,2,4.613,0.577,4.613,4.613,28.824,0,0,0
"Fig13 C3 MT2",ycsbc,50000000,8,1,8,2,3,2.574,0.322,2.574,2.574,8.989,0,0,0
"Fig13 C3 MT2",ycsbc,50000000,8,2,16,2,3,3.597,0.450,3.597,3.597,13.464,0,0,0
"Fig13 C3 MT2",ycsbc,50000000,8,4,32,2,3,4.039,0.505,4.039,4.039,23.703,0,0,0
"Fig13 C3 MT2",ycsbc,50000000,8,8,64,2,3,4.450,0.556,4.450,4.450,44.923,0,0,0
"Fig11 fb MT1",fb,50000000,8,1,8,1,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 fb MT1",fb,50000000,8,2,16,1,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 fb MT1",fb,50000000,8,4,32,1,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 fb MT1",fb,50000000,8,8,64,1,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 fb MT2",fb,50000000,8,1,8,2,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 fb MT2",fb,50000000,8,2,16,2,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 fb MT2",fb,50000000,8,4,32,2,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 fb MT2",fb,50000000,8,8,64,2,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 fb MT3",fb,50000000,8,1,8,3,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 fb MT3",fb,50000000,8,2,16,3,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 fb MT3",fb,50000000,8,4,32,3,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
